Song Name,Streams,Artist,Artist Followers,Release Date,Popularity,Danceability,Energy,Loudness,Speechiness,Acousticness,Liveness,Tempo,Duration (ms),Valence
Indeciso,4897374,"Reik, J Balvin, Lalo Ebratt",1251372.0,2021-08-09,0.0,0.738,0.748,-4.902,0.0453,0.182,0.109,94.949,217253.0,0.896
i love you,4863910,Billie Eilish,1251372.0,2021-08-13,2.0,0.42,0.131,-18.435,0.0382,0.953,0.109,137.421,291796.0,0.12
Mejor,4851895,"Dalex, Sech",3600989.0,2020-03-19,63.0,0.524,0.577,-4.501,0.18,0.185,0.103,175.396,201361.0,0.19
Give No Fxk,9652399,"Migos, Travis Scott, Young Thug",11692972.0,2020-02-14,59.0,0.904,0.627,-5.608,0.222,0.0303,0.0923,145.976,224243.0,0.236
Come Around Me,9533583,Justin Bieber,48544923.0,2020-02-14,66.0,0.648,0.681,-8.389,0.0378,0.263,0.0971,157.941,200773.0,0.767
Habitual,9120086,Justin Bieber,48544923.0,2020-02-14,62.0,0.764,0.443,-6.625,0.0439,0.52,0.0749,138.999,168200.0,0.63
All Around Me,9010535,Justin Bieber,48544923.0,2020-02-14,63.0,0.566,0.438,-7.564,0.0367,0.809,0.212,117.127,136907.0,0.692
Get Me (feat. Kehlani),8362828,Justin Bieber,48544923.0,2020-02-14,61.0,0.832,0.508,-6.913,0.149,0.0492,0.107,109.352,185427.0,0.75
Second Emotion (feat. Travis Scott),8109572,Justin Bieber,48544923.0,2020-02-14,61.0,0.796,0.777,-6.112,0.0567,0.0276,0.095,141.97,202720.0,0.96
Running Over (feat. Lil Dicky),7493188,Justin Bieber,48544923.0,2020-02-14,58.0,0.774,0.603,-7.319,0.0591,0.438,0.0869,149.982,179627.0,0.977
Available,7473249,Justin Bieber,48544923.0,2020-02-14,58.0,0.702,0.608,-6.843,0.0359,0.0736,0.129,75.012,195333.0,0.597
Breathe Deeper,7142364,Tame Impala,5064200.0,2020-02-14,66.0,0.664,0.848,-4.51,0.0322,0.0245,0.172,104.998,372867.0,0.502
Changes,6865229,Justin Bieber,48544923.0,2020-02-14,62.0,0.485,0.412,-7.766,0.042,0.738,0.12,64.062,135493.0,0.612
Confirmation,6520106,Justin Bieber,48544923.0,2020-02-14,58.0,0.438,0.315,-8.186,0.0375,0.608,0.151,190.064,170587.0,0.449
Mios mit Bars,6341141,Luciano,942380.0,2020-02-13,57.0,0.677,0.633,-7.353,0.0467,0.111,0.217,145.012,232147.0,0.404
E.T.A.,6008945,Justin Bieber,48544923.0,2020-02-14,58.0,0.465,0.494,-7.595,0.066,0.49,0.127,127.298,176733.0,0.457
Borderline,5921044,Tame Impala,5064200.0,2020-02-14,77.0,0.621,0.873,-3.067,0.0369,0.0406,0.0824,97.96,237800.0,0.873
Take It Out On Me,5858768,Justin Bieber,48544923.0,2020-02-14,54.0,0.772,0.616,-4.673,0.102,0.00337,0.104,129.967,178013.0,0.279
No Shame,5835260,5 Seconds of Summer,7744095.0,2020-03-27,62.0,0.576,0.807,-3.019,0.0374,0.0185,0.0963,90.932,192737.0,0.479
Might Not Give Up (feat. Young Thug),5503902,A Boogie Wit da Hoodie,5865895.0,2020-02-14,57.0,0.687,0.592,-6.378,0.224,0.203,0.279,178.83,225266.0,0.246
That's What Love Is,5440037,Justin Bieber,48544923.0,2020-02-14,59.0,0.639,0.437,-6.959,0.0355,0.692,0.12,147.575,165120.0,0.751
Forever Yours - Avicii Tribute,5421905,"Kygo, Sandro Cavazza",1251372.0,2021-08-10,15.0,0.53,0.612,-8.794,0.0518,0.253,0.246,119.255,193847.0,0.433
